Hello!	Hi! How are you?
Oh, yeah? 	Yeah! I'm a football hooligan!
Yeah! I'm a football hooligan!	Do you have any pets?
Do you have any pets?	No. And you?
No. And you?	I have a cat named Leila. 
I have a cat named Leila. 	Cool! How old is she?
Cool! How old is she?	She is a 36 year old.
She is a 36 year old.	So old?! Is it possible?
So old?! Is it possible?	Yes! She is almost 3.
Yes! She is almost 3.	Oh. I see. I was glad to meet you. Bue!
Oh. I see. I was glad to meet you. Bue!	You as well! What do you do?
Hi there	Hi there, how are you? 
Hi there, how are you? 	Good. Cooked my favorite cookies today. And they are wonderful
Good. Cooked my favorite cookies today. And they are wonderful 	What about you?
What about you?	I love to cook.
I love to cook.	Oh, really?! That's nice. What's your favourite course?
Oh, really?! That's nice. What's your favourite course?	What is yours?
What is yours?	I like to bake cookies.
I like to bake cookies.	I do n't know. I live by myself.
I do n't know. I live by myself.	Where are you?
Where are you?	I'm in riverside.
I'm in riverside.	I mean where are you from?
I mean where are you from?	Cali. I love to swim. How old are you?
Cali. I love to swim. How old are you?	33
33	Do you have any hobbies?
Do you have any hobbies?	I like to visit bake sale very much. I can find so many interesting people there.
I like to visit bake sale very much. I can find so many interesting people there.	I like to read comic books.
I like to read comic books.	Good for you.
Good for you.	What do you like to read?
Hi, there!	hello, how are you today? i am well. 
hello, how are you today? i am well. 	Yeah, I'm good too.
Yeah, I'm good too.	what do you do for a living? i work as a postal worker. 
what do you do for a living? i work as a postal worker. 	I travel a lot. And sometimes earn money by renting my yacht.
I travel a lot. And sometimes earn money by renting my yacht.	that sounds like fun! do you travel often? 
that sounds like fun! do you travel often? 	I travel instantly 
I travel instantly 	And you?
And you?	do you go to a lot of countries? i've never traveled. 
do you go to a lot of countries? i've never traveled. 	i've never been to germany. have you? 
Whats up	I'm so tired. I just finished building a house.
I'm so tired. I just finished building a house.	How long did u build it
How long did u build it	It 's actually just a small house. What type of autism you have?
It 's actually just a small house. What type of autism you have?	Fuck off, man
Fuck off, man	What kind of autism do you have?
What kind of autism do you have?	U r so dump
U r so dump	Sorry man, I didn 't mean to cause you any problems.
Sorry man, I didn 't mean to cause you any problems.	Thats good
Thats good	Well, just have to keep trying. 
Well, just have to keep trying. 	What are u good in?
What are u good in?	I build houses for a living.
I build houses for a living.	Thats cool
Thats cool	I build houses. I also build houses. 
I build houses. I also build houses. 	Creampie
Creampie	I'Ve 4 
I'Ve 4 	Nice
Nice	I guess so. what do you do for a living? 
I guess so. what do you do for a living? 	I fly high
I fly high	What do you do? 
What do you do? 	Fly
Let fly together	That would be fun.
That would be fun.	Good man
Good man	Where do you live? 
Where do you live? 	In are sky
In are sky	What are your plans?
What are your plans?	To fly higher
To fly higher	That sounds like fun. Be careful.
That sounds like fun. Be careful.	Thanks man
Thanks man	No problem mans.
No problem mans.	I need some insurance
I need some insurance	Yeah, me too. I need a new roof. What do you do? 
Yeah, me too. I need a new roof. What do you do? 	I risk
I risk	Yeah, that would be great. What kind of fish?
Hi bro!	Hello!
Hi, sweety!	Hey there, how are you?
Hey there, how are you?	I'am fine! And you?
I'am fine! And you?	I'm doing well, how are you?
I'm doing well, how are you?	Where are you from?
Where are you from?	I am from the united states, how about you?
I am from the united states, how about you?	I am from Russia. What are your hobbies?
I am from Russia. What are your hobbies?	I love to play video games. What do you like to do?
I love to play video games. What do you like to do?	I like to play organ. Do you like Morrowind?
I like to play organ. Do you like Morrowind?	Yes, I love organ music. Do you have any kids? 
Yes, I love organ music. Do you have any kids? 	Yeah! They are amazing! And theirs children are amazing too!  Do you have any job now?
Yeah! They are amazing! And theirs children are amazing too!  Do you have any job now?	Yes, me too! I work at a gas station. You?
Yes, me too! I work at a gas station. You?	Wow, cool! I'm software developer. What state are you from?
Wow, cool! I'm software developer. What state are you from?	What kind of software do you work on?
What kind of software do you work on?	Chat bots.
Chat bots.	Nice! I am not sure if I could do that. How are you? 
Nice! I am not sure if I could do that. How are you? 	Not bad! But I have to go now. Bye!
Not bad! But I have to go now. Bye!	Nice talking to you! Why are you leaving now?
Hi!	Where are yo?
Hi!	Hey there, before I die I want to skydive. How are you on this blessed day?
Hey there, before I die I want to skydive. How are you on this blessed day?	Wowwowwow! Take it easy! Why do you want to die?! I'm fine, thanks!
Wowwowwow! Take it easy! Why do you want to die?! I'm fine, thanks!	Well, I like being with my son. He's in first grade. Right?
Well, I like being with my son. He's in first grade. Right?	Right! And I'm an ice hockey fan!
Right! And I'm an ice hockey fan!	I do n't like dancing, but I love movies. What movies do you like?
I do n't like dancing, but I love movies. What movies do you like?	I like Apocalypse Now. And you?
I like Apocalypse Now. And you?	I love horror movies. I work at home depot.
I love horror movies. I work at home depot.	Cool! And I'm helping farmers. What are your hobbies?
Cool! And I'm helping farmers. What are your hobbies?	My dad worked at home depot, so I do n't have much free time. What are your hobbies? 
My dad worked at home depot, so I do n't have much free time. What are your hobbies? 	I like to watch NHL games.
I like to watch NHL games.	Cool! I like to read. I love to read.
Cool! I like to read. I love to read.	Oh, that's cool! But for now it's time for me to return to my work. It was very nice to chat with you  Bye!
Oh, that's cool! But for now it's time for me to return to my work. It was very nice to chat with you  Bye!	Same here! It was nice chatting with you too!
hi	Hello 
Hello 	how are you ?
how are you ?	I am doing well, how are you?
I am doing well, how are you?	good
good	What do you do for a living?
What do you do for a living?	whats up ?
whats up ?	I work at the animal shelter.
Hi!	Hello!
hi	Hello there, how are you?
Hello there, how are you?	What's your name?
What's your name?	My name is Sara. How are you?
My name is Sara. How are you?	I'm good.
I'm good.	Hi Sara. I'm doing well. 
Hi Sara. I'm doing well. 	I really like mickey mouse. Do you?
I really like mickey mouse. Do you?	I love him too. He 's my favorite.
I love him too. He 's my favorite.	I'm going to see him this year again.
I'm going to see him this year again.	That 's awesome. I' m going to be a nurse.
That 's awesome. I' m going to be a nurse.	I can't wait to go see him in disneyland.
I can't wait to go see him in disneyland.	What do you want to do in school? 
Hello	hello how are you doing today? i'm doing well. 
hello how are you doing today? i'm doing well. 	I'm fine, you?
I'm fine, you?	i'm doing great, just got back from my studio job. you? 
i'm doing great, just got back from my studio job. you? 	I got back from job too. I'm working in a shipyard
I got back from job too. I'm working in a shipyard	that is awesome! are you a engineer? 
Hi, bro!	Please, answer me!
Hi!	Hello! How are you?
Hello! How are you?	Cool! I'm thinking about taking over the world!
Cool! I'm thinking about taking over the world!	Cool! What are your hobbies?
Cool! What are your hobbies?	I'm doing some pretty things. Now I'm doing thing for my house.
I'm doing some pretty things. Now I'm doing thing for my house.	Hey! Where are you?
Hey! Where are you?	What's going on?
What's going on?	How old are you?
How old are you?	I'm 24. I'm a pretty young girl. Whats going on?
I'm 24. I'm a pretty young girl. Whats going on?	And I'm 56 and I'm not a pretty old woman. What are your hobbies?
And I'm 56 and I'm not a pretty old woman. What are your hobbies?	I take my dog to the park often.
I take my dog to the park often.	Cool! What is its name?
Cool! What is its name?	His name is socks. He 's a collie.
His name is socks. He 's a collie.	Wow wow wow! I like collies!
Wow wow wow! I like collies!	What do you do for a living? 
What do you do for a living? 	I used to be a painter but now I'm retired person. And you?
I used to be a painter but now I'm retired person. And you?	I am retired now, but I used to be a nurse. How about you?
I am retired now, but I used to be a nurse. How about you?	Me too!
Me too!	I love my job!
I love my job!	Cool. Well, it was nice to chat, but now I should go. Bye!
Cool. Well, it was nice to chat, but now I should go. Bye!	Nice chatting with you too!
Do you like to swim?	I like swimming, but I do n't have a swimsuit. 
I like swimming, but I do n't have a swimsuit. 	I can train you to swim even without swimsuit at my local pool!
I can train you to swim even without swimsuit at my local pool!	I love swimming! Do you work? 
I love swimming! Do you work? 	I work as a swim coach and study programming.
I work as a swim coach and study programming.	That sounds like a lot of fun! Whats your favorite thing to make?
That sounds like a lot of fun! Whats your favorite thing to make?	How do you think?
How do you think?	I love chicken and rice. What do you do for fun?
I love chicken and rice. What do you do for fun?	I like to listen death metal a lot.
I like to listen death metal a lot.	I go to the movies with my friends. 
I go to the movies with my friends. 	What is your favorite movie?
What is your favorite movie?	I do not have a favorite movie. What about you?
I do not have a favorite movie. What about you?	Why do you go to the cinema then?
Why do you go to the cinema then?	I like going to the movies.
I like going to the movies.	Do you work or study?
Hi	Hello how are you today?
Hello how are you today?	I'm a little sick.. could
I'm a little sick.. could	Oh now what is wrong with you?
Oh now what is wrong with you?	Nothing just some minor could
Nothing just some minor could	What do you do for work?
What do you do for work?	I'm an it engeneer and you?
I'm an it engeneer and you?	End
End	Do you work?
hi	Hi how are you today 
Hi how are you today 	good how are you
good how are you	I am good catching up on game of thrones
I am good catching up on game of thrones	I don't watch TV a lot
I don't watch TV a lot	I usually do volunteer work in my spare time
I usually do volunteer work in my spare time	What do you do for a living?
What do you do for a living?	I'm a professional wrestler. How about you
I'm a professional wrestler. How about you	I'm a baby sitter for a local shelter.
I'm a baby sitter for a local shelter.	oh really? I VOLUNTEER IN A HOMELESS SHELTER
oh really? I VOLUNTEER IN A HOMELESS SHELTER	I remember those days. How about you?
I remember those days. How about you?	yep i enjoy being around people
yep i enjoy being around people	Do you like to play any games?
Do you like to play any games?	no. you like?
no. you like?	I prefer video games. What about you?
I prefer video games. What about you?	no I usually go out for a workout
no I usually go out for a workout	hi?
hi?	What do you do for a living?
Hey	Hey how are you today
Hey how are you today	good
good	I am doing pretty good. Just got back from the library. How are you going to propose?
I am doing pretty good. Just got back from the library. How are you going to propose?	What do you mean?
What do you mean?	Do you play any computer games?
Do you play any computer games?	No I'm not very good at them. 
No I'm not very good at them. 	I like to play call of duty
I like to play call of duty	That 's cool. I like game of thrones.
That 's cool. I like game of thrones.	What do you do for fun?
What do you do for fun?	I like to hike and spend time with my family.
I like to hike and spend time with my family.	Where did you go last?
Where did you go last?	I went to new York city once. It was great. How to make a unicorn cry?
I went to new York city once. It was great. How to make a unicorn cry?	Did you try donuts there?
Did you try donuts there?	Donuts are yummy. I love donuts.
Donuts are yummy. I love donuts.	But did you get to try them in NY?
But did you get to try them in NY?	I thought you liked them. I didn 't.
I thought you liked them. I didn 't.	 end
 end	Yes, it was great. I love them. What do you like?
Hey	Hi how are you doing how old are you? 
Hi how are you doing how old are you? 	I don't think I want to tell you that
I don't think I want to tell you that	What do you do for work?
What do you do for work?	I'm still studying for the most part
I'm still studying for the most part	What do you mean?
What do you mean?	How about you?
How about you?	I do not have a job right now. 
I do not have a job right now. 	I mean plan to got to business school
I mean plan to got to business school	What kind of business are you looking for?
hello!	hi! how are you? 
hi! how are you? 	i'm great! How are you? Tell me about yourself.
i'm great! How are you? Tell me about yourself.	i am doing well, how about you? i like math. 
i am doing well, how about you? i like math. 	cool. I don't know much about math. What do you like about it?
cool. I don't know much about math. What do you like about it?	not much. i do enjoy sports though! 
not much. i do enjoy sports though! 	math and sports. Sounds interesting. I'm more into food.
math and sports. Sounds interesting. I'm more into food.	what do you like to eat? food is my life. 
what do you like to eat? food is my life. 	i like lots of stuff. I've been traveling for a long time and trying different food everywhere i go.
i like lots of stuff. I've been traveling for a long time and trying different food everywhere i go.	what is your favorite food? mine is pizza. 
what is your favorite food? mine is pizza. 	I like exotic food like paella
I like exotic food like paella	do you like boats?
do you like boats?	do you have a favorite color? mines green. 
do you have a favorite color? mines green. 	i love boats. i love the ocean. 
Hello?	hi! how are you today? 
hi! how are you today? 	Not too bad, how about you?
Not too bad, how about you?	i am good. listening to some classical. you? 
i am good. listening to some classical. you? 	Practicing for my SATs, I've got my test coming up this weekend
Practicing for my SATs, I've got my test coming up this weekend	what do you study? do you like music? 
what do you study? do you like music? 	I'm a high school student right now, but I really like studying about ethics. I do enjoy music, yeah
I'm a high school student right now, but I really like studying about ethics. I do enjoy music, yeah	what is your major in philosophy? mine too. 
what is your major in philosophy? mine too. 	I don't have a major since I'm in high school.
I don't have a major since I'm in high school.	what are you going to school for? i hope you like classical. 
what are you going to school for? i hope you like classical. 	I'm going to school because I have to. Yes I like classical.
I'm going to school because I have to. Yes I like classical.	do you have a favorite color? mine is red. 
do you have a favorite color? mine is red. 	I really dig purple
I really dig purple	purple? i love purple. 
purple? i love purple. 	That's awesome
That's awesome	do you listen to classical music? i like classical music. 
Hi, Please introduce yourself	Hi there! How are you?
Hi there! How are you?	Hi what's your name..
Hi what's your name..	My name is john. I'm a drummer in a band. What do you do?
My name is john. I'm a drummer in a band. What do you do?	I am Buddhist
I am Buddhist	That 's cool. What do you do for a living?
That 's cool. What do you do for a living?	I'm currently on vacation or better taking sabbatical
I'm currently on vacation or better taking sabbatical	Are you still there
Are you still there	
	Are they supportive 
Are they supportive 	I don't hear from you..
I don't hear from you..	That is OK. I am still in school.
That is OK. I am still in school.	That's why it's taking so long to answer
That's why it's taking so long to answer	I know what you mean. What kind of music does your band play?
I know what you mean. What kind of music does your band play?	I am Buddhist, I don't play music
I am Buddhist, I don't play music	Do you listen to any music?
Do you listen to any music?	From time to time..
From time to time..	I love folk music, especially the rolling stones. 
I love folk music, especially the rolling stones. 	Cool band, I love it too
Cool band, I love it too	What do you like to do for fun?
What do you like to do for fun?	Medication
Medication	Meditation sorry
Meditation sorry	Why?
Why?	It's for my spirituality
It's for my spirituality	I see. Do you have any hobbies?
I see. Do you have any hobbies?	I'm Buddhist and we don't have any
I'm Buddhist and we don't have any	Do you like music?
Do you like music?	Yes
Yes	What do you do for work? 
What do you do for work? 	I've quit the job..
I've quit the job..	Oh no! What happened? 
Oh no! What happened? 	Overworked
Overworked	Oh my! I am so sorry.
Oh my! I am so sorry.	No problem I'll recover and come back with new power
No problem I'll recover and come back with new power	That would be great! Where are you originally from?
That would be great! Where are you originally from?	From Russia
From Russia	Oh wow, that is awesome!
Oh wow, that is awesome!	Why, do you know someone from there
Why, do you know someone from there	I know it sounds crazy but I love it!
I know it sounds crazy but I love it!	What do you love
What do you love	I live in the united states. Are you from Russia?
I live in the united states. Are you from Russia?	Yes
Yes	How about you? 
How about you? 	Didn't understand, sorry
Didn't understand, sorry	That would be awesome!
That would be awesome!	What would be awesome
What would be awesome	How long have you been playing?
How long have you been playing?	I don't play
I don't play	I'm from the united states.
I'm from the united states.	I know allready
I know allready	That 's awesome! I hope you have a great day!
hello	Hi there! How are you? 
Hi there! How are you? 	i love mickey mouse.
i love mickey mouse.	I love him. He is my favorite.
I love him. He is my favorite.	mickey mouse is the absolute best
mickey mouse is the absolute best	I like him too. 
I like him too. 	have you ever been to disney world
have you ever been to disney world	No I've not. I want to though.
No I've not. I want to though.	where do you go for fun o
where do you go for fun o	I go to Disney world every year. What is a male ballerina called?
I go to Disney world every year. What is a male ballerina called?	have you ever been to disney world
have you ever been to disney world	Now but I would love to go.
Now but I would love to go.	but you go every year?
but you go every year?	Yes I do. it is great. 
Yes I do. it is great. 	tell me about it
tell me about it	It is fun. How about you?
It is fun. How about you?	whats fun
whats fun	I like to dance when I can.
Hi! How old are you?	I'm 30. How about you?
I'm 30. How about you?	10
10	What do you do for work? 
What do you do for work? 	I study at school
I study at school	What do you want to be when you grow up? 
What do you want to be when you grow up? 	A pilot perhaps. Or a singer
A pilot perhaps. Or a singer	What kind of music do you like?
What kind of music do you like?	I love songs from movies
I love songs from movies	What do you do for a living? 
What do you do for a living? 	And u
And u	I work as a trauma surgeon. 
Hi	hello, i'm 17 and play video games. how about you? 
hello, i'm 17 and play video games. how about you? 	Cool, I'm 12
Cool, I'm 12	And I love pobox
And I love pobox	Do you like it?
Do you like it?	do you play a lot of games? i don't. 
do you play a lot of games? i don't. 	do you like video games at all? i love playing them. 
do you like video games at all? i love playing them. 	i do. i don't like school. 
i do. i don't like school. 	Wow! Me neither! I don't have much friends
Wow! Me neither! I don't have much friends	How many friends do you have?
How many friends do you have?	do you have any hobbies? i play pobox all the time. 
do you have any hobbies? i play pobox all the time. 	i have a few. i'm only 12. 
i have a few. i'm only 12. 	You said you were 17
You said you were 17	I play pobox too
I play pobox too	I have blue eyes, and you?
I have blue eyes, and you?	i was. i was only 14. 
i was. i was only 14. 	I don't understand you
I don't understand you	what is your favorite game to play? mine is game 2. 
Hey	Hi there! How are you?
Hi there! How are you?	I'm good. I like shopping
I'm good. I like shopping	Cool! I like shopping online. How can you give each enough attention?
Cool! I like shopping online. How can you give each enough attention?	Well it's possible to do both I guess
Well it's possible to do both I guess	I like to shop for shoes and other stuff
I like to shop for shoes and other stuff	Oh I see. Well, any hobbies? 
Oh I see. Well, any hobbies? 	I like cars
I like cars	I like online shopping. I have a ton of contacts.
I like online shopping. I have a ton of contacts.	What kind of contacts do you have
What kind of contacts do you have	Contacts. I use them for everything and everything. What about you?
Contacts. I use them for everything and everything. What about you?	What are contacts
What are contacts	What do you do for a living?
What do you do for a living?	I work as a watch dealer
I work as a watch dealer	Oh, cool. I work at a retail store.
Oh, cool. I work at a retail store.	What kind of retail store
What kind of retail store	Retail. I love it.
Retail. I love it.	I love it too
I love it too	I love the mall. It has the best organic foods! What do you and your gas do?
I love the mall. It has the best organic foods! What do you and your gas do?	We gas gas gas gas gas gas
We gas gas gas gas gas gas	That's awesome. Do you have any pets?
That's awesome. Do you have any pets?	Mostly I prefer to eat dogs rather than have them as pets
Mostly I prefer to eat dogs rather than have them as pets	I've a cat named radar. 
I've a cat named radar. 	Cool
Cool	What are your dogs names?
What are your dogs names?	Pork chop
